param baseMVA :=          100;
param demScaleDemand := 1;
param demScaleFlow := 1;
param RefBus := "b13";
param: 	Bus: 	DemandP 	DemandQ 	MinVoltage 	MaxVoltage 	GS 	BS:=
   	b1 	        1.08 	        0.22 	        0.95 	        1.05 	           0 	           0
   	b2 	        0.97 	         0.2 	        0.95 	        1.05 	           0 	           0
   	b3 	         1.8 	        0.37 	        0.95 	        1.05 	           0 	           0
   	b4 	        0.74 	        0.15 	        0.95 	        1.05 	           0 	           0
   	b5 	        0.71 	        0.14 	        0.95 	        1.05 	           0 	           0
   	b6 	        1.36 	        0.28 	        0.95 	        1.05 	           0 	          -1
   	b7 	        1.25 	        0.25 	        0.95 	        1.05 	           0 	           0
   	b8 	        1.71 	        0.35 	        0.95 	        1.05 	           0 	           0
   	b9 	        1.75 	        0.36 	        0.95 	        1.05 	           0 	           0
   	b10 	        1.95 	         0.4 	        0.95 	        1.05 	           0 	           0
   	b11 	           0 	           0 	        0.95 	        1.05 	           0 	           0
   	b12 	           0 	           0 	        0.95 	        1.05 	           0 	           0
   	b13 	        2.65 	        0.54 	        0.95 	        1.05 	           0 	           0
   	b14 	        1.94 	        0.39 	        0.95 	        1.05 	           0 	           0
   	b15 	        3.17 	        0.64 	        0.95 	        1.05 	           0 	           0
   	b16 	           1 	         0.2 	        0.95 	        1.05 	           0 	           0
   	b17 	           0 	           0 	        0.95 	        1.05 	           0 	           0
   	b18 	        3.33 	        0.68 	        0.95 	        1.05 	           0 	           0
   	b19 	        1.81 	        0.37 	        0.95 	        1.05 	           0 	           0
   	b20 	        1.28 	        0.26 	        0.95 	        1.05 	           0 	           0
   	b21 	           0 	           0 	        0.95 	        1.05 	           0 	           0
   	b22 	           0 	           0 	        0.95 	        1.05 	           0 	           0
   	b23 	           0 	           0 	        0.95 	        1.05 	           0 	           0
   	b24 	           0 	           0 	        0.95 	        1.05 	           0 	           0	;

param: 	Generator: 	Location 	MaxGenP 	MinGenP	MaxGenQ 	MinGenQ 	GenQuad 	GenLin 	GenConst :=
   	g22 	b16 	      1.55 	     0.543 	       0.8 	      -0.5 	   0.00834 	      12.4 	       382
   	g23 	b18 	         4 	         1 	         2 	      -0.5 	  0.000213 	      4.42 	       395
   	g24 	b21 	         4 	         1 	         2 	      -0.5 	  0.000213 	      4.42 	       395
   	g25 	b22 	       0.5 	       0.1 	      0.16 	      -0.1 	         0 	     0.001 	     0.001
   	g26 	b22 	       0.5 	       0.1 	      0.16 	      -0.1 	         0 	     0.001 	     0.001
   	g27 	b22 	       0.5 	       0.1 	      0.16 	      -0.1 	         0 	     0.001 	     0.001
   	g28 	b22 	       0.5 	       0.1 	      0.16 	      -0.1 	         0 	     0.001 	     0.001
   	g29 	b22 	       0.5 	       0.1 	      0.16 	      -0.1 	         0 	     0.001 	     0.001
   	g30 	b22 	       0.5 	       0.1 	      0.16 	      -0.1 	         0 	     0.001 	     0.001
   	g31 	b23 	      1.55 	     0.543 	       0.8 	      -0.5 	   0.00834 	      12.4 	       382
   	g32 	b23 	      1.55 	     0.543 	       0.8 	      -0.5 	   0.00834 	      12.4 	       382
   	g33 	b23 	       3.5 	       1.4 	       1.5 	     -0.25 	    0.0049 	      11.8 	       665	;

param: 	Line: 	LStartBus 	LEndBus 	LReactance 	LResistance 	LBsh 	LMaxFlow 	LContMaxFlow 	LNminus1 :=
   	l1 	b1 	b2 	    0.0139 	    0.0026 	     0.461 	      1.75 	         2 	         0
   	l2 	b1 	b3 	     0.211 	    0.0546 	    0.0572 	      1.75 	       2.2 	         0
   	l3 	b1 	b5 	    0.0845 	    0.0218 	    0.0229 	      1.75 	       2.2 	         0
   	l4 	b2 	b4 	     0.127 	    0.0328 	    0.0343 	      1.75 	       2.2 	         0
   	l5 	b2 	b6 	     0.192 	    0.0497 	     0.052 	      1.75 	       2.2 	         0
   	l6 	b3 	b9 	     0.119 	    0.0308 	    0.0322 	      1.75 	       2.2 	         0
   	l7 	b4 	b9 	     0.104 	    0.0268 	    0.0281 	      1.75 	       2.2 	         0
   	l8 	b5 	b10 	    0.0883 	    0.0228 	    0.0239 	      1.75 	       2.2 	         0
   	l9 	b6 	b10 	    0.0605 	    0.0139 	      2.46 	      1.75 	         2 	         0
   	l10 	b7 	b8 	    0.0614 	    0.0159 	    0.0166 	      1.75 	       2.2 	         0
   	l11 	b8 	b9 	     0.165 	    0.0427 	    0.0447 	      1.75 	       2.2 	         0
   	l12 	b8 	b10 	     0.165 	    0.0427 	    0.0447 	      1.75 	       2.2 	         0
   	l13 	b11 	b13 	    0.0476 	    0.0061 	    0.0999 	         5 	      6.25 	         0
   	l14 	b11 	b14 	    0.0418 	    0.0054 	    0.0879 	         5 	      6.25 	         0
   	l15 	b12 	b13 	    0.0476 	    0.0061 	    0.0999 	         5 	      6.25 	         0
   	l16 	b12 	b23 	    0.0966 	    0.0124 	     0.203 	         5 	      6.25 	         0
   	l17 	b13 	b23 	    0.0865 	    0.0111 	     0.182 	         5 	      6.25 	         0
   	l18 	b14 	b16 	    0.0389 	     0.005 	    0.0818 	         5 	      6.25 	         0
   	l19 	b15 	b16 	    0.0173 	    0.0022 	    0.0364 	         5 	      6.25 	         0
   	l20 	b15 	b21 	     0.049 	    0.0063 	     0.103 	         5 	      6.25 	         0
   	l21 	b15 	b21 	     0.049 	    0.0063 	     0.103 	         5 	      6.25 	         0
   	l22 	b15 	b24 	    0.0519 	    0.0067 	     0.109 	         5 	      6.25 	         0
   	l23 	b16 	b17 	    0.0259 	    0.0033 	    0.0545 	         5 	      6.25 	         0
   	l24 	b16 	b19 	    0.0231 	     0.003 	    0.0485 	         5 	      6.25 	         0
   	l25 	b17 	b18 	    0.0144 	    0.0018 	    0.0303 	         5 	      6.25 	         0
   	l26 	b17 	b22 	     0.105 	    0.0135 	     0.221 	         5 	      6.25 	         0
   	l27 	b18 	b21 	    0.0259 	    0.0033 	    0.0545 	         5 	      6.25 	         0
   	l28 	b18 	b21 	    0.0259 	    0.0033 	    0.0545 	         5 	      6.25 	         0
   	l29 	b19 	b20 	    0.0396 	    0.0051 	    0.0833 	         5 	      6.25 	         0
   	l30 	b19 	b20 	    0.0396 	    0.0051 	    0.0833 	         5 	      6.25 	         0
   	l31 	b20 	b23 	    0.0216 	    0.0028 	    0.0455 	         5 	      6.25 	         0
   	l32 	b20 	b23 	    0.0216 	    0.0028 	    0.0455 	         5 	      6.25 	         0
   	l33 	b21 	b22 	    0.0678 	    0.0087 	     0.142 	         5 	      6.25 	         0	;

param: 	Transformer: 	TStartBus 	TEndBus 	TReactance 	TResistance 	TBsh 	TMaxFlow 	TContMaxFlow 	TNminus1 	MaxTap 	MinTap 	ExTap :=
   	t1 	b3 	b24 	    0.0839 	    0.0023 	         0 	         4 	         6 	         0 	       1.1 	       0.9 	      1.03
   	t2 	b9 	b11 	    0.0839 	    0.0023 	         0 	         4 	         6 	         0 	       1.1 	       0.9 	      1.03
   	t3 	b9 	b12 	    0.0839 	    0.0023 	         0 	         4 	         6 	         0 	       1.1 	       0.9 	      1.03
   	t4 	b10 	b11 	    0.0839 	    0.0023 	         0 	         4 	         6 	         0 	       1.1 	       0.9 	      1.02
   	t5 	b10 	b12 	    0.0839 	    0.0023 	         0 	         4 	         6 	         0 	       1.1 	       0.9 	      1.02	;

